title,Correlation,numOfRatings
"Apostle, The (1997)",1.0,55
Notorious (1946),0.8703882797784891,52
"Philadelphia Story, The (1940)",0.8347257041177223,104
Excess Baggage (1997),0.7717436331412899,52
"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",0.7431605356175384,96
Mary Shelley's Frankenstein (1994),0.7298657469629846,59
Seven Years in Tibet (1997),0.7241758173308326,155
"Life Less Ordinary, A (1997)",0.7047791249912799,53
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",0.6900655593423545,54
She's So Lovely (1997),0.6745826748800269,53
